"","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32","Cell.33","Cell.34","Cell.35","Cell.36","Cell.37","Cell.38","Cell.39","Cell.40","Cell.41","Cell.42","Cell.43","Cell.44","Cell.45","Cell.46","Cell.47","Cell.48","Cell.49","Cell.50","Cell.51","Cell.52","Cell.53","Cell.54","Cell.55","Cell.56","Cell.57","Cell.58","Cell.59","Cell.60","Cell.61","Cell.62","Cell.63","Cell.64","Cell.65","Cell.66","Cell.67","Cell.68","Cell.69","Cell.70","Cell.71","Cell.72","Cell.73","Cell.74","Cell.75","Cell.76","Cell.77","Cell.78","Cell.79","Cell.80","Cell.81"
"Sdhd",1.42226558763312,-0.103347465551818,0.385073272726342,1.45844490157965,1.45844490157965,-1.67137764543269,-1.2656079260841,-0.117070653600501,-0.607674626340951,0.875209409510587,0.701798215077218,-1.18623175884797,1.23669065833842,1.45844490157965,-0.510520692769019,-0.303581254807615,1.45844490157965,-0.51582283360601,0.495950394346959,-0.873717340102937,-0.464048987785976,-0.664126831723038,0.95411774079052,-0.0674800422427572,-1.67137764543269,-0.72354199816109,0.487841237772737,-0.372197195051035,-1.67137764543269,1.11926383333093,-0.830676432132065,1.40199269619757,0.458367572531813,-0.789818758623484,0.0725588539813126,1.45844490157965,-0.673015714890935,0.561915264171883,-0.00525786006747467,-0.0754332534982446,-0.210949735478998,0.453689212969762,-0.431144525532881,-1.67137764543269,0.116847324502065,1.44113497120006,-0.0836983553912021,-0.851884995480031,-0.0250629155468249,-0.0539127995128081,0.492675542653523,-0.105530700014108,-1.67137764543269,1.01789937615315,-0.867635472672271,-0.98662175086711,-1.67137764543269,1.03162256420184,0.743123724542004,1.06031650284908,0.181408686458374,1.45844490157965,0.486593675222856,0.2019934685314,0.752168553028637,-0.63699234626314,0.0218766253924236,-1.67137764543269,1.45844490157965,-1.67137764543269,-0.998317649772238,-0.82989670553839,-1.67137764543269,1.27193430037254,0.896729863496023,0.582811936882378,-1.14506219470191,-1.22724537767528,1.45844490157965,1.45844490157965,-0.406349219854009
"Ccnd2",-1.12917693626813,0.811279563532273,-0.497577369666428,1.51792585886189,1.35077632669517,-1.48184408105944,0.245542685429546,0.0715707233784764,1.65280004965261,-1.13075134316452,0.780841030202072,-1.48184408105944,0.0710459210796799,-0.974885060421929,-0.127329347865432,0.516340671608588,0.902857564672279,-1.48184408105944,-1.12078009948738,0.212742541754761,-0.231765005325954,0.452052390006006,1.65280004965261,-1.48184408105944,0.978166694549589,0.357063173923823,-0.818493975380544,0.804981935946714,-1.48184408105944,0.325837437145426,0.369133626796144,-1.10162481558131,1.12826015200541,0.0715707233784764,1.48223930254372,1.65280004965261,-0.275323596126071,-0.847620502963755,-0.599126614483568,1.65280004965261,-0.544809576558122,-0.0940044018918483,-0.787530639751545,0.212742541754761,-0.611197067355891,-0.786218634004554,-0.565801668509985,-0.901675139739805,-0.479209289208548,-0.400488944389058,1.65280004965261,-0.64504681562827,1.65280004965261,0.418989845181821,-0.0856075651111025,-1.48184408105944,-0.054119427183307,0.168134346357049,0.730197608368199,1.21747654280083,1.38278926692176,-0.239899440957301,1.65280004965261,-0.169838334067956,-0.523817484606258,0.463335639430132,-1.36691237762298,-0.926340847783244,0.91335361064821,0.245280284280148,-0.861265362732467,0.273619608415166,-1.28058239947094,1.65280004965261,-0.272174782333292,-0.24173624900309,-1.48184408105944,-1.48184408105944,1.65280004965261,0.677979779637939,-1.48184408105944
"Dazap2",-0.286183195953261,-1.55466488100269,-0.0573253549929879,1.58529594036351,0.151419552845349,-1.55466488100269,-1.55466488100269,-0.465246882097091,1.58529594036351,-1.55388379622126,1.07524757808686,0.477717720289561,0.659710474363771,1.58529594036351,0.161183112613279,0.777263733969645,0.632567778208926,-1.55466488100269,-0.312544807326671,1.04537108519699,0.0569082942917898,-0.0696274403005793,-1.50526126857697,0.812022006743474,0.149662112087122,-1.55466488100269,0.562074876684474,-0.315083332866333,-0.0672841859562764,0.645260405907235,-0.328947587736793,-1.55466488100269,1.58529594036351,-0.421310863141408,-1.18560232177495,1.58529594036351,-1.55466488100269,-1.55466488100269,-0.569521700418582,0.805968599687358,-0.0370171506756946,-0.888009020048449,-0.389481658297957,-0.40022157404268,-0.941708598772062,0.276197846679491,0.286351948838139,-0.775532811521898,-1.10807965721758,0.432805345357084,1.04361364443877,0.00418507154496905,0.458776414339777,1.32851431846696,-0.260602669361284,-0.627907787830801,0.448036498595054,0.404881564420805,0.644284049930442,1.17893658282227,0.442178362734296,-1.17974418591419,1.58529594036351,1.58529594036351,0.621437320073486,0.84463229636836,-1.04598341709355,-1.55466488100269,-0.763035455018948,-1.25492359612725,-0.298875823651569,1.31191626686148,0.0381622595373651,1.58529594036351,-0.177221868943165,-0.242832990583653,-1.53630938863898,-0.147735918444017,1.48473127475383,1.58529594036351,-0.324651621438904
"Lck",0.538459225010413,-1.52266401021494,-0.136454032066908,1.39944791222534,0.040265650186684,-1.52266401021494,-1.52266401021494,-0.525237333024811,1.29315622098752,0.131744073941485,-0.317071942605505,-0.399714382247626,1.67180412840441,1.21545153717307,-0.754453156183146,0.443082572970608,1.67180412840441,-1.27941456523058,-0.351636233399223,0.683733199098293,0.073530531552067,-0.876337760560991,1.67180412840441,-0.500548553886441,1.67180412840441,-0.564999261531869,0.190997143873572,-0.493271861087763,0.524945366955727,1.67180412840441,-0.220395881137364,-0.273931549584776,0.619542373338532,-0.336822965916201,0.16916706547754,0.597452413056834,-0.219616235480362,-0.437917019440682,-0.760170557667821,-0.403352728646965,-0.22949174713571,0.409557809719558,-0.840474060338938,-0.522898396053807,-0.824881147198916,-1.3597180679017,0.291571433626719,-1.52266401021494,-0.867761658333978,-0.682205991967707,1.50340066649216,-0.277310014098447,1.67180412840441,1.2554733475658,-0.99432413665383,-1.52266401021494,-1.37297204407072,0.996371107555752,-0.237028321820055,1.16191586872566,0.640332924191896,0.437884935257266,0.538459225010413,0.710501033321999,-0.0901950564181732,1.67180412840441,-0.984708506884149,-1.52266401021494,1.39217121942666,-1.52266401021494,0.0789880511510749,0.83810303918452,-0.38801969739261,1.67180412840441,0.160590963250527,0.527284303926731,-1.52266401021494,-1.52266401021494,1.67180412840441,-0.937150121807079,-0.745357290184799
"Atp5f1",1.0470273783827,1.48669252331874,0.172217455260506,1.48669252331874,0.786511505165728,-1.71491670579612,-1.71491670579612,-0.346197236739292,1.48669252331874,0.546932067421902,-0.0300094782869135,-0.328353683779225,0.136292435300906,1.48669252331874,-0.76445011812325,0.889290370215711,0.870019333018839,-0.512737064366579,-0.246987082281322,-0.0649828420886437,-0.0228720571028877,0.443915288332452,1.48669252331874,-1.01021532089323,1.01728812344925,-0.30741724830608,0.292839873270556,-0.409244457198194,-1.71491670579612,0.550262863974448,-0.935748226539888,-0.305751850029808,1.33585502229631,-0.843913407305413,0.550500778013915,0.533846795251186,-1.71491670579612,0.262386876218709,-0.396635013106413,1.48669252331874,-0.433273775184416,-1.41347961779073,-1.71491670579612,0.0603978567107562,-0.506313385300955,-1.71491670579612,0.153660160182037,-0.384263483054101,-0.468722967065082,-0.0216824869055496,1.16836353851115,-0.220102795821489,-0.946930186394863,0.0849030027759141,-1.24456064976877,-1.1087117332328,-0.13445374161317,1.30088165849458,0.4120348070438,0.981838931568589,0.392763769846928,-1.71491670579612,0.806972112559938,1.48669252331874,0.366831139544964,-0.600051516851171,-0.976193613249372,-0.788479436109472,1.48669252331874,1.30207122869192,-0.852716226765712,-1.71491670579612,-0.304086451753535,1.02561511483062,1.48669252331874,-0.292190749780158,-1.71491670579612,1.48407546888459,0.170314142944766,1.10436466189438,-0.9745282149731
"Gm2a",-0.0476968047765395,0.910952888762677,-0.77777037732897,1.4784273594775,0.754482799632921,-1.14424928424233,-1.62159121513587,0.194939992422368,1.4784273594775,0.0339632763015474,1.35819055135591,-1.62159121513587,-0.885208364795945,1.4784273594775,0.588098131122824,1.19432959396081,1.4784273594775,0.182501701927029,-0.414716506928823,1.07535464139671,-1.1898563493919,-1.26773086379749,0.0231473715229925,-0.665284967632003,1.01568690003501,-1.53037708483672,0.336988875180717,-0.192990458968455,-0.0722128556079294,-0.185239060543824,-0.372173948133176,0.772869837756464,0.728885158323676,-1.21941982245328,-0.151890020809948,0.334645429145363,-0.206330074862006,1.0304686365657,-0.452391908574121,1.47446152772537,0.0849782938403958,-0.307278519461848,-0.228142149498757,0.645061896289878,-1.62159121513587,-1.01211498086432,-0.725493504232623,0.103545597043581,-0.865559471114904,-0.158199298597438,0.843894279135639,0.234418044864091,1.4784273594775,-1.04690614123534,-1.00292146180255,-1.62159121513587,0.881028885542009,-0.821214261522831,0.549521404079313,1.02884625084892,-0.130258211252839,0.599094300981021,0.632803870874183,1.30933871477277,1.18026891774868,-1.62159121513587,-0.893500558459503,-1.62159121513587,-0.499801624520118,1.4784273594775,-0.130979271571409,0.261097276651192,0.38133408477279,1.4784273594775,-0.315390448045764,-1.62159121513587,-1.62159121513587,-1.62159121513587,1.4784273594775,1.4784273594775,-0.543425773793622
"Sema4f",-1.18220514337283,1.23277506157433,-1.703231582729,1.2437549666146,-1.27902794236426,-0.75299067361699,-1.703231582729,0.122007940773636,1.2437549666146,-0.233241895938232,1.2437549666146,-0.801601707749802,0.870837464519754,1.2437549666146,0.590250982081693,0.0681065887577864,1.2437549666146,0.00761729371777738,0.572283864743076,-0.686512339464109,-0.238132944547078,0.813043237080538,1.2437549666146,-0.698889686964044,0.885310975709195,-0.652175181883641,1.2437549666146,1.00618974847067,0.356878091316773,-0.969793889502963,-1.56828854978413,0.468773305408935,-0.750694875290389,0.416868299764043,-1.04914865774852,1.2437549666146,0.378738084078757,-1.30258482954156,-0.4971588861788,0.946299357341944,-0.162371599769245,0.843088249963446,0.460288833332366,0.400697894159288,-1.703231582729,-1.0568345912767,-0.568228816984883,-0.45593433361853,-0.125838461180725,1.10560779774434,0.986525736716736,1.16959069893353,-1.24588859260637,0.717418245911679,0.89728905393494,-1.703231582729,-1.703231582729,-0.0711385706164918,0.543536477001289,0.984729024982874,1.2437549666146,1.17208613189723,1.19524374980033,0.675295337484478,0.618898552504931,1.01986472111172,0.249474656559265,-1.62331783749958,-1.703231582729,0.196172208454703,-1.703231582729,0.632773159783085,-0.179240726603835,0.873732166757642,-1.0030330565794,-0.159177445575713,-1.703231582729,0.00452295684279354,0.213540421882032,-0.247615589809125,-1.703231582729
"Hk2",-0.219153974940774,0.16540769940204,-1.67394088697121,1.48136441160404,1.36658194653482,-0.164389805867257,-1.67394088697121,-1.01293130379972,1.48136441160404,-0.171462669031733,0.0156650821198405,-1.67394088697121,1.48136441160404,1.16631887807779,0.663539347985872,0.172076398957117,0.0576980974972997,-0.0865883110580177,0.363447868007377,-1.67394088697121,-0.0936611742224937,0.890477214663213,1.48136441160404,0.250079975571056,0.541481937947481,-0.587347023102942,0.303631653816377,1.29383249684306,-1.66080556966575,-1.67394088697121,-0.204604085002422,-1.67394088697121,1.48136441160404,-1.50641507087547,0.809240329174085,0.332731433693079,-1.36920152548463,0.993336853255169,0.627972950358791,1.48136441160404,0.0257691723548065,-0.595834458900313,-0.420629534226,-0.670200563029664,-0.135694189599953,-1.10103897064862,-0.420629534226,-1.67394088697121,0.139137064791127,-0.75527700280808,0.635854140742065,-0.144585789006723,1.48136441160404,-0.944021408397248,-0.684952534772716,-1.41992405846416,-0.0425344776335646,1.31909272243048,0.264831947314107,0.922608221610405,0.116705984469502,0.0104109551976578,0.798529993525021,0.976968227074523,0.823588137307737,-1.67394088697121,0.070429251193357,0.583717035129639,1.48136441160404,1.48136441160404,-1.09497651650764,0.547140228479062,0.517030039578863,-0.589974086564033,-0.496612292792946,-1.67394088697121,-0.370917410269966,0.101549849117053,0.557042236909329,1.30797822317202,-1.03435197509785
"Cd52",0.617648183228869,1.24908548893602,-0.627798883030379,1.58456573317077,0.756446132142318,-1.22095783062911,-0.63806868642532,-0.507673303925914,1.58456573317077,-0.412755424063577,-1.1549821239707,-1.33392566797347,1.03528685462315,1.00105417664001,-0.886099998721328,0.122830383290788,0.622938688008081,-0.961100684120747,-0.555287846938824,-1.26950599213247,-0.288584164833832,0.529265632799677,1.58456573317077,-1.2707508167864,0.51743979858732,0.329782482007029,0.2457568178666,-1.33392566797347,0.898978555017564,0.694516105609188,-0.560889557881518,-0.922199913685364,1.12273578656189,0.21027931522953,-0.730808123143275,0.7788529759131,-0.541283569582085,-0.326551316778766,-1.27043961062292,-0.40186320834167,-0.677903075351154,-0.929046449281991,-1.33392566797347,0.311110112198044,0.602399081218198,-1.33392566797347,-0.460369967076487,-0.00849861769906894,-0.578005896873087,-1.33392566797347,1.58456573317077,0.144303608571119,1.58456573317077,1.42834023910227,-1.33392566797347,-1.33392566797347,-0.456013080787723,0.381442705145219,0.0191987308509247,-0.137026763217577,1.58456573317077,0.584971536063147,1.58456573317077,0.848874362696791,-0.496469882040524,1.42024887885171,-1.33392566797347,-1.04139187429938,1.32004049421016,-1.3295687816847,0.0185763185239587,-0.610371337875327,-0.943673138965696,1.57647437292021,-0.0159675656226618,0.542336291665966,-1.33392566797347,1.13954091938998,1.58456573317077,1.58456573317077,-1.09460812825498
"Rpl13",0.152048535740893,0.91452413178087,-0.525313505392298,1.5167025327464,0.23928992952035,-1.09273720477088,-1.54596688464953,-0.466088656769657,1.5167025327464,-0.44268242917029,0.77869708374212,-1.57504734924268,1.5167025327464,1.5167025327464,-0.254723328751133,0.927291165016888,1.11454098581182,-1.57504734924268,-0.821792388317609,0.0254421228170443,0.291421981900758,-0.412892684952914,1.5167025327464,-0.794839762597127,0.685426813156765,-1.22395393525218,0.377954096055993,-0.444455628230848,0.381500494177108,-0.156488100796215,-0.151523143426653,-0.672134387606507,1.44754776938463,-1.41510479398034,-0.0341373656177072,0.895018942114731,-0.205073755055507,0.670886580860188,-0.0515147164111769,1.43797249445762,-0.0359105646782659,0.20630842699397,-0.00860329914567038,-0.0231435314422475,-1.57504734924268,-1.57504734924268,-0.910806981157625,0.307026133633669,-1.17430436155656,-0.335581205912582,1.17944007142825,0.206663066806081,1.10886674881804,0.339298356535827,-0.888110033182482,-1.57504734924268,-0.250467651005794,0.238580649896127,0.761674372760763,1.45109416750575,0.290712702276535,-1.57504734924268,0.663793784617956,1.5167025327464,0.582935907456507,0.882606548690824,-1.57504734924268,-1.57504734924268,0.641096836642812,-1.01861748403956,-0.488076325120578,-1.13103830447894,-0.593404349317728,1.5167025327464,1.15816168270155,-0.489849524181135,-1.57504734924268,-0.68809317915153,1.5167025327464,1.5167025327464,-1.08528976871654
