"","annotation"
"Sdhd","others"
"Ccnd2","cell cycle"
"Dazap2","others"
"Lck","others"
"Atp5f1","others"
"Gm2a","others"
"Sema4f","others"
"Hk2","others"
"Cd52","others"
"Rpl13","ribonucleoprotein"
"Calm1","cell cycle"
"0610031J06Rik","others"
"Snd1","others"
"Tcf25","others"
"Ubl3","cell cycle"
"Sep-07","others"
"Uba1","others"
"Bcap31","others"
"Cd3g","others"
"Rab8a","others"
"Fam32a","cell cycle"
"Atp5d","others"
"Slc2a3","others"
"Sri","others"
"Glg1","others"
"Rps11","ribonucleoprotein"
"Man1a","others"
"Kif20a","others"
"Calr","others"
"Bax","others"
"Fam162a","others"
"Rpl8","ribonucleoprotein"
"Stat3","others"
"Stat5a","others"
"Tax1bp1","others"
"Etfb","others"
"Stxbp2","others"
"Rab11a","cell cycle"
"Srpk1","others"
"Hnrnpa2b1","ribonucleoprotein"
"Wdr1","others"
"Ndrg1","others"
"Prdx2","others"
"Txn2","others"
"Eif4g2","others"
"Snx6","others"
"Cd247","others"
"Psmb4","others"
"Ergic3","others"
"Napa","others"
"Sra1","ribonucleoprotein"
"Aamp","others"
"Arpc2","others"
"Rps9","ribonucleoprotein"
"Crip1","others"
"Cdc20","cell cycle"
"Rnf114","others"
"Cyba","others"
"Aprt","others"
"Cdc42","others"
"Cdk4","cell cycle"
"Cnp","others"
"Clic1","others"
"Gatad1","others"
"Ppp2r1a","others"
"Rhoa","cell cycle"
"Rplp1","ribonucleoprotein"
"Arpc5","others"
"Rps15a","others"
"Vdac3","others"
"Dynll1","others"
"Srp14","ribonucleoprotein"
"Fxyd5","others"
"Sdhb","others"
"Rps25","ribonucleoprotein"
"Tbrg1","cell cycle"
"Rpl15","ribonucleoprotein"
"Tmem167","others"
"Rps5","ribonucleoprotein"
"Ndufa2","others"
"Srp19","ribonucleoprotein"
"Psmb1","others"
"Surf4","others"
"Ppp1cb","cell cycle"
"Gorasp2","others"
"Edf1","others"
"Hnrnpl","ribonucleoprotein"
"Golga7","others"
"Cd48","others"
"Gata3","others"
"Hspa8","ribonucleoprotein"
"Psma2","others"
"Adss","others"
"Fli1","others"
"Ctsz","others"
"Slc25a5","others"
"Mapkapk2","others"
"Eif3d","others"
"Tox4","others"
"Sdc4","others"
"Aldoc","others"
"Zfp207","others"
"Birc5","cell cycle"
"Ctsa","others"
"Ppp2r5c","others"
"Med13l","others"
"Med1","others"
"Vmp1","others"
"Trove2","ribonucleoprotein"
"Psmb6","others"
"Pfn1","others"
"Anxa6","others"
"Il12rb2","others"
"Atox1","others"
"Mrpl45","ribonucleoprotein"
"Ywhah","cell cycle"
"Mdh2","others"
"Cops6","others"
"Ubb","others"
"Gyg","others"
"D17Wsu104e","others"
"Snx3","others"
"Atp2b1","others"
"Srgn","others"
"Actr2","others"
"Ndufs7","others"
"Snrpd3","ribonucleoprotein"
"Tmbim4","others"
"Hint1","others"
"Sptbn1","cell cycle"
"Mdh1","others"
"Ccng1","cell cycle"
"Hmmr","others"
"Cyfip2","others"
"Canx","others"
"Gnb2l1","cell cycle"
"Sar1b","others"
"Vdac1","others"
"Gatsl3","others"
"Smek2","others"
"Pdia6","others"
"Tspan13","others"
"Amz2","others"
"Gna13","others"
"Prkar1a","others"
"Id2","others"
"Rrm2","cell cycle"
"Ddx42","others"
"Ddx5","ribonucleoprotein"
"Galk1","others"
"Txndc17","others"
"Ywhae","others"
"Adprm","others"
"Stat5b","cell cycle"
"Lsm12","others"
"Nmt1","others"
"Fkbp3","others"
"Psma6","others"
"Snw1","others"
"Actr10","others"
"Hif1a","cell cycle"
"Atp6v1d","others"
"Erh","cell cycle"
"Pfkp","others"
"Gdi2","others"
"Npc2","others"
"Fcf1","others"
"Tmed10","others"
"0610007P14Rik","others"
"Hsp90aa1","others"
"Fdft1","others"
"Exoc2","others"
"Gadd45g","others"
"Auh","others"
"Lman2","others"
"Prelid1","others"
"Hnrnpk","ribonucleoprotein"
"Glrx","others"
"Btf3","others"
"Emb","others"
"Map3k1","others"
"Vdac2","others"
"2700060E02Rik","others"
"Ero1l","others"
"Mapk1ip1l","others"
"Arf4","others"
"Ctsb","others"
"Esd","others"
"Lcp1","others"
"Diap3","others"
"Sugt1","others"
"Pbk","cell cycle"
"Esco2","cell cycle"
"Dpysl2","others"
"Bnip3l","others"
"Itm2b","others"
"Fyb","others"
"Dad1","others"
"Sub1","others"
"Psme1","others"
"Cct5","others"
"Pabpc1","ribonucleoprotein"
"Ywhaz","others"
"Eif3h","others"
"Rad21","cell cycle"
"Shcbp1","cell cycle"
"Eif3e","others"
"Fam49b","others"
"St13","others"
"Tomm22","others"
"Twf1","others"
"1500032L24Rik","others"
"Aco2","others"
"Tsta3","others"
"Ly6c2","others"
"Ly6e","others"
"Rpl24","others"
"Rrn3","others"
"Gsk3b","ribonucleoprotein"
"Ap2m1","others"
"D16Ertd472e","others"
"Pros1","others"
"Sod1","others"
"Tmbim6","others"
"Prr13","others"
"Cdkn1a","cell cycle"
"Bsg","others"
"Tpi1","others"
"Satb1","others"
"Hsp90ab1","others"
"Glo1","others"
"Ndufv3","others"
"Myl12a","others"
"Ndc80","cell cycle"
"Birc6","cell cycle"
"Ndufv2","others"
"Cox7a2l","others"
"Psmb8","others"
"Pfdn1","others"
"Ndfip1","others"
"Csnk1a1","ribonucleoprotein"
"Dctn4","others"
"Rps14","ribonucleoprotein"
"Fth1","others"
"Ms4a6b","others"
"Lpxn","others"
"Ostf1","others"
"Ddb1","others"
"Jak2","others"
"Kif20b","cell cycle"
"Pold4","others"
"Cdk2ap2","others"
"Fermt3","others"
"Ablim1","others"
"P4hb","others"
"Arhgdia","others"
"Csnk1d","others"
"Scd2","others"
"Rps24","ribonucleoprotein"
"Dgka","others"
"Rps26","others"
"Atp5b","others"
"Atp5a1","others"
"Sigirr","others"
"Rplp2","ribonucleoprotein"
"Cct8","others"
"Hprt","others"
"Shisa5","others"
"Uqcrc1","others"
"Sec11a","others"
"Hadha","others"
"Atp5c1","others"
"Pgm2","others"
"Rpl14","ribonucleoprotein"
"Tram1","others"
"Eef1b2","others"
"Sf3b1","others"
"Icos","others"
"Ctla4","others"
"Cd28","others"
"Sumo1","others"
"Stat1","cell cycle"
"Nabp1","others"
"Rqcd1","others"
"Trip12","others"
"Ncl","ribonucleoprotein"
"Ptma","others"
"Eif4e2","others"
"Sep-02","others"
"Actr3","others"
"Ptprc","others"
"Il24","others"
