GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
NM_016190,-9.4868875059874,4.41673099208987e-15,7.09443910797071e-12,down,CRNN
NM_006061,-8.96319150105841,1.02536759929245e-17,5.59984007001584e-14,down,CRISP3
AL833167,-6.76686948449912,5.2256732240387e-11,6.65244036793532e-09,down,TMPRSS11B
AF268198,-6.50764709118634,1.11113830223725e-07,2.34205311077124e-06,down,SPINK7
NM_002371,-6.47971210561566,7.82255665663488e-11,8.82672079935538e-09,down,MAL
NM_000077,6.30136521841025,8.38192482474899e-12,1.8684165732817e-09,up,CDKN2A
AW001287,-6.27662810761356,7.32332736750153e-15,1.08094291221989e-11,down,FAM3D
NM_006846,-5.99775706880962,4.31494938522049e-14,3.7405131869055e-11,down,SPINK5
NM_006025,-5.89771949554265,4.85510248275154e-09,1.78673660303578e-07,down,ENDOU
NM_012128,-5.87668327888156,3.10125460662733e-11,4.61495416435254e-09,down,CLCA4
AA548647,-5.78401959192007,1.44855247132133e-08,4.31586449079498e-07,down,UPK1A
AI742570,-5.67775862955646,3.66041137939805e-14,3.38823807903502e-11,down,THSD4
NM_005416,-5.65956050039481,2.21558060295358e-09,9.71883562000833e-08,down,SPRR3
AA584310,5.64276525733272,1.99580623145959e-12,6.94013837047762e-10,up,CTHRC1
AI796235,-5.51117427767909,9.1416836610136e-09,2.97707077983861e-07,down,RDH12
NM_000336,-5.49682535692708,3.68895790611558e-19,4.0293011625338e-15,down,SCNN1B
AF193855,5.48329572309789,7.21369701109017e-12,1.65530098683474e-09,up,ZIC2
X07695,-5.46851870730036,7.79670857512694e-08,1.74080803521426e-06,down,KRT4
NM_019060,-5.46849288842546,7.71395119977253e-07,1.20057571066736e-05,down,CRCT1
NM_000114,-5.45121453915634,1.50760739647344e-09,7.17203508219549e-08,down,EDN3
AB048288,-5.37323355730009,4.63608813613291e-06,5.6398848271805e-05,down,LCE3D
AA838075,-5.3371488825067,1.09604091566819e-05,0.000118243605465412,down,PIGR
NM_006121,-5.31997425342174,9.00282146426009e-05,0.000718712306135998,down,KRT1
NM_001062,-5.29356702896727,8.94364149865764e-08,1.95532062916809e-06,down,TCN1
AL161628,5.28821122888918,3.48984829339249e-10,2.48685797086446e-08,up,ELAVL2
NM_000697,-5.28335453575144,9.14956772820552e-09,2.97786258844153e-07,down,ALOX12
AI814274,-5.27382275263895,4.42990322649612e-07,7.50928911021685e-06,down,SBSN
W69083,-5.25484760136505,7.69676709591492e-05,0.000629256798516769,down,KRTDAP
NM_004669,-5.22439824190007,1.05947840929228e-09,5.54758335251002e-08,down,CLIC3
NM_014668,-5.20733435294801,1.33064905700349e-10,1.27512497359186e-08,down,GREB1
N26005,-5.19424153165928,1.80136813046516e-07,3.48481422159526e-06,down,PPP1R3C
M25532,-5.17489577411189,5.34662522936688e-17,2.08568031179581e-13,down,CRISP2
NM_003226,-5.16982255731515,3.37994738024013e-05,0.000310860670725925,down,TFF3
NM_014258,5.08503821467466,3.83085267424222e-11,5.42006106472513e-09,up,SYCP2
BC018787,-5.06628450767662,1.16947767453511e-11,2.33097387734985e-09,down,CYSRT1
AW629527,-5.01988845887403,6.41312664762126e-10,3.88723735412364e-08,down,TPRG1
NM_003890,-4.99791198897847,2.23926926630809e-11,3.7269034459984e-09,down,FCGBP
NM_002426,4.96920920351381,4.37479774828683e-08,1.07091362360909e-06,up,MMP12
NM_006890,-4.95009178920243,2.94227476747791e-07,5.30020267168478e-06,down,CEACAM7
AI559190,-4.9438305157201,5.46289747903941e-11,6.87901981356189e-09,down,ZG16B
NM_019598,-4.93897095362538,1.85529997828873e-08,5.29657593906338e-07,down,KLK12
NM_020427,-4.92914927421903,4.8038927913035e-11,6.32180715690261e-09,down,SLURP1
AB049591,-4.91350141577358,2.56476264632241e-07,4.72250109250189e-06,down,CNFN
NM_003986,-4.90778252743522,8.49104933426119e-11,9.31168026690776e-09,down,BBOX1
AL355392,-4.85534856962975,0.000470585490082968,0.00297110813524869,down,BPIFB1
AL832750,-4.8318593890472,7.8621481921465e-12,1.77427892238718e-09,down,A2ML1
NM_005621,-4.81569138701233,5.51877780656611e-10,3.45638775630728e-08,down,S100A12
NM_000860,-4.81440153436496,2.8368838759786e-10,2.17918011301453e-08,down,HPGD
BG163478,-4.80785906342114,1.00545864150543e-15,2.61481489469221e-12,down,THSD4
NM_024508,-4.805653443109,6.97006358953535e-09,2.40010140488836e-07,down,ZBED2
NM_006853,-4.78971205480678,2.58803248567323e-12,8.36332651716404e-10,down,KLK11
NM_002274,-4.77483738503409,2.78405533585601e-07,5.07156818069061e-06,down,KRT13
BC039109,-4.77417142473312,5.86654993884367e-12,1.44972801724013e-09,down,C1orf177
BC005894,-4.77352926568917,3.12993754103152e-08,8.14753474396351e-07,down,FMO2
