"","length","type","chr"
"gene1",124882,"protein_coding","chr1"
"gene2",51244,"protein_coding","chr1"
"gene3",39318,"protein_coding","chr1"
"gene4",45043,"protein_coding","chr1"
"gene5",15421,"protein_coding","chr1"
"gene6",283709,"protein_coding","chr1"
"gene7",11476,"protein_coding","chr1"
"gene8",3235,"protein_coding","chr1"
"gene9",25927,"protein_coding","chr1"
"gene10",168570,"protein_coding","chr2"
"gene11",19379,"protein_coding","chr2"
"gene12",45419,"protein_coding","chr2"
"gene13",13593,"protein_coding","chr2"
"gene14",75328,"protein_coding","chr2"
"gene15",4208,"protein_coding","chr2"
"gene16",64178,"protein_coding","chr2"
"gene17",213391,"protein_coding","chr2"
"gene18",23806,"protein_coding","chr2"
"gene19",7341,"protein_coding","chr2"
"gene20",38906,"protein_coding","chr2"
"gene21",42938,"protein_coding","chr2"
"gene22",190816,"protein_coding","chr2"
"gene23",93131,"protein_coding","chr2"
"gene24",118238,"protein_coding","chr3"
"gene25",163856,"protein_coding","chr3"
"gene26",221953,"protein_coding","chr3"
"gene27",26872,"protein_coding","chr3"
"gene28",737389,"protein_coding","chr3"
"gene29",55007,"protein_coding","chr3"
"gene30",78335,"protein_coding","chr3"
"gene31",271465,"protein_coding","chr4"
"gene32",29557,"protein_coding","chr4"
"gene33",21919,"protein_coding","chr4"
"gene34",103112,"protein_coding","chr4"
"gene35",90682,"protein_coding","chr4"
"gene36",106229,"protein_coding","chr4"
"gene37",216341,"protein_coding","chr4"
"gene38",222882,"protein_coding","chr4"
"gene39",180624,"protein_coding","chr5"
"gene40",86102,"protein_coding","chr5"
"gene41",21526,"protein_coding","chr5"
"gene42",277125,"protein_coding","chr5"
"gene43",125908,"protein_coding","chr5"
"gene44",136363,"protein_coding","chr5"
"gene45",152955,"protein_coding","chr5"
"gene46",55902,"protein_coding","chr5"
"gene47",157582,"protein_coding","chr5"
"gene48",9675,"protein_coding","chr6"
"gene49",23698,"protein_coding","chr6"
"gene50",19124,"protein_coding","chr6"
"gene51",12980,"protein_coding","chr6"
"gene52",149475,"protein_coding","chr6"
"gene53",102787,"protein_coding","chr6"
"gene54",79514,"protein_coding","chr6"
"gene55",45691,"protein_coding","chr6"
"gene56",53672,"protein_coding","chr6"
"gene57",29455,"protein_coding","chr7"
"gene58",38290,"protein_coding","chr7"
"gene59",16098,"protein_coding","chr7"
"gene60",44029,"protein_coding","chr7"
"gene61",205660,"protein_coding","chr7"
"gene62",105650,"protein_coding","chr7"
"gene63",38606,"others","chr7"
"gene64",158697,"protein_coding","chr7"
"gene65",33326,"protein_coding","chr7"
"gene66",67133,"protein_coding","chr7"
"gene67",32516,"protein_coding","chr7"
"gene68",66200,"protein_coding","chr7"
"gene69",20196,"protein_coding","chr8"
"gene70",214040,"protein_coding","chr8"
"gene71",33857,"protein_coding","chr8"
"gene72",79159,"protein_coding","chr8"
"gene73",344317,"protein_coding","chr8"
"gene74",4124,"antisense","chr9"
"gene75",360459,"protein_coding","chr9"
"gene76",156008,"protein_coding","chr9"
"gene77",66195,"protein_coding","chr9"
"gene78",179707,"protein_coding","chr10"
"gene79",123378,"protein_coding","chr10"
"gene80",46823,"protein_coding","chr10"
"gene81",15318,"protein_coding","chr10"
"gene82",122047,"protein_coding","chr10"
"gene83",25169,"protein_coding","chr10"
"gene84",189932,"protein_coding","chr10"
"gene85",134343,"protein_coding","chr10"
"gene86",72295,"protein_coding","chr10"
"gene87",30986,"protein_coding","chr10"
"gene88",38185,"protein_coding","chr11"
